Rank  	Player  	   	Alliance  	Points
120   * 	Bohemo 	write message   	I.C. 	748.163
121   * 	Cancer 	write message   	M.O.A 	739.832
122   * 	chiopp 	write message   	doop 	737.150
123   * 	perfecstrom 	write message   	Nuke 	729.766
124   * 	Sylph 	write message   	Lost 	725.204
125   * 	Hung Wei Lo 	write message   	doop 	723.389
126   * 	peti 	write message   	Nuke 	721.588
127   * 	Junior 	write message   	doop 	716.453
128   * 	Emperor Domo 	write message   	_AI_ 	708.880
129   * 	Kaka Polish 	write message   	V RP 	708.224
130   * 	merc 	write message   	OGJ 	705.812
131   * 	Snapping Turtle 	write message   	Nuke 	705.130
132   * 	Aversin 	write message   	I.C. 	702.017
133   * 	Dirk Pitt 	write message   	H.D 	700.944
134   * 	stc-ulti 	write message   	SVIE 	690.947
135   * 	Mr Blonde 	write message   	doop 	688.721
136   * 	majorkrohn 	write message   	Nuke 	684.225
137   * 	Nightbird 	write message   	MooNStaR 	674.623
138   * 	Clark Kent 	write message   	Nuke 	674.081
139   * 	TABUTCU 	write message   		667.758
140   * 	Snake Plissken 	write message   	UFP 	666.535
141   * 	Lady Faylyn 	write message   	doop 	665.607
142   * 	Guli 	write message   	doop 	646.667
143   * 	Blue Eyed Devil 	write message   	doop 	645.696
144   * 	l3 e T u L 	write message   	BARACUDA 	635.182
145   * 	serial killer 	write message   	TURKLER 	627.732
146   * 	Fanatikis 	write message   	TmX 	627.602
147   * 	ged 	write message   	MooNStaR 	627.126
148   * 	McBooty 	write message   	doop 	624.714
149   * 	riddick 	write message   		622.869
150   * 	Arrow 	write message   	SVIE 	619.570
151   * 	Ivy 	write message   	M.O.A 	619.527
152   * 	evi 	write message   	Platoon 	619.279
153   * 	Ghost 	write message   	Nuke 	617.016
154   + 	zelper 	write message   	NC Veng 	611.697
155   - 	Seketh 	write message   	Cells 	611.622
156   + 	madka1986 	write message   	O.N.O 	610.909
157   - 	rossi 	write message   	Tardis 	609.837
158   * 	mark 	write message   	FWL 	603.462
159   * 	Redux 	write message   	doop 	600.429
160   * 	erbain 	write message   	TURKLER 	599.634
161   * 	wolfhound 	write message   	ELY 	598.985
162   * 	LysiaK 	write message   	lys 	598.330
163   * 	Nojunoxo 	write message   	NC Veng 	598.201
